"","session_id","id","x","y","counts","pa","key","dist2sq","rl_the_sq","rl_emp_sq"
"1811","T076","75,5","75","5",0,0,"T076_75,5",73.0168115333182,144.731542711133,134.079669422477
"1812","T078","75,5","75","5",0,0,"T078_75,5",73.0168115333182,144.731542711133,134.079669422477
"1813","T079","75,5","75","5",0,0,"T079_75,5",73.0168115333182,144.731542711133,134.079669422477
"1814","T080","75,5","75","5",0,0,"T080_75,5",73.0168115333182,144.731542711133,134.079669422477
"1815","T081","75,5","75","5",0,0,"T081_75,5",73.0168115333182,144.731542711133,134.079669422477
"1816","T082","75,5","75","5",0,0,"T082_75,5",73.0168115333182,144.731542711133,134.079669422477
"1817","T083","75,5","75","5",0,0,"T083_75,5",73.0168115333182,144.731542711133,134.079669422477
"1818","T084","75,5","75","5",0,0,"T084_75,5",73.0168115333182,144.731542711133,134.079669422477
"1819","T085","75,5","75","5",0,0,"T085_75,5",73.0168115333182,144.731542711133,134.079669422477
"1820","T086","75,5","75","5",0,0,"T086_75,5",73.0168115333182,144.731542711133,134.079669422477
"1821","T087","75,5","75","5",0,0,"T087_75,5",73.0168115333182,144.731542711133,134.079669422477
"1822","T088","75,5","75","5",0,0,"T088_75,5",73.0168115333182,144.731542711133,134.079669422477
"1823","T089","75,5","75","5",0,0,"T089_75,5",73.0168115333182,144.731542711133,134.079669422477
"1824","T090","75,5","75","5",0,0,"T090_75,5",73.0168115333182,144.731542711133,134.079669422477
"1825","C017","5,15","5","15",0,0,"C017_5,15",16.0335716240573,157.899394476383,150.307479837357
"1826","C018","5,15","5","15",0,0,"C018_5,15",16.0335716240573,157.899394476383,150.307479837357
"1827","C019","5,15","5","15",0,0,"C019_5,15",16.0335716240573,157.899394476383,150.307479837357
"1828","C020","5,15","5","15",0,0,"C020_5,15",16.0335716240573,157.899394476383,150.307479837357
"1829","C021","5,15","5","15",0,0,"C021_5,15",16.0335716240573,157.899394476383,150.307479837357
"1830","C022","5,15","5","15",0,0,"C022_5,15",16.0335716240573,157.899394476383,150.307479837357
"1831","C023","5,15","5","15",0,0,"C023_5,15",16.0335716240573,157.899394476383,150.307479837357
"1832","C024","5,15","5","15",0,0,"C024_5,15",16.0335716240573,157.899394476383,150.307479837357
"1833","C025","5,15","5","15",0,0,"C025_5,15",16.0335716240573,157.899394476383,150.307479837357
"1834","C026","5,15","5","15",0,0,"C026_5,15",16.0335716240573,157.899394476383,150.307479837357
"1835","C027","5,15","5","15",0,0,"C027_5,15",16.0335716240573,157.899394476383,150.307479837357
"1836","C028","5,15","5","15",0,0,"C028_5,15",16.0335716240573,157.899394476383,150.307479837357
"1837","C029","5,15","5","15",0,0,"C029_5,15",16.0335716240573,157.899394476383,150.307479837357
"1838","C030","5,15","5","15",2,1,"C030_5,15",16.0335716240573,157.899394476383,150.307479837357
"1839","C031","5,15","5","15",0,0,"C031_5,15",16.0335716240573,157.899394476383,150.307479837357
"1840","C032","5,15","5","15",0,0,"C032_5,15",16.0335716240573,157.899394476383,150.307479837357
"1841","T048","5,15","5","15",0,0,"T048_5,15",16.0335716240573,157.899394476383,150.307479837357
"1842","T049","5,15","5","15",0,0,"T049_5,15",16.0335716240573,157.899394476383,150.307479837357
"1843","T050","5,15","5","15",0,0,"T050_5,15",16.0335716240573,157.899394476383,150.307479837357
"1844","T051","5,15","5","15",0,0,"T051_5,15",16.0335716240573,157.899394476383,150.307479837357
"1845","T052","5,15","5","15",0,0,"T052_5,15",16.0335716240573,157.899394476383,150.307479837357
"1846","T053","5,15","5","15",0,0,"T053_5,15",16.0335716240573,157.899394476383,150.307479837357
"1847","T054","5,15","5","15",1,1,"T054_5,15",16.0335716240573,157.899394476383,150.307479837357
"1848","T055","5,15","5","15",0,0,"T055_5,15",16.0335716240573,157.899394476383,150.307479837357
"1849","T056","5,15","5","15",0,0,"T056_5,15",16.0335716240573,157.899394476383,150.307479837357
"1850","T057","5,15","5","15",0,0,"T057_5,15",16.0335716240573,157.899394476383,150.307479837357
"1851","T058","5,15","5","15",0,0,"T058_5,15",16.0335716240573,157.899394476383,150.307479837357
"1852","T059","5,15","5","15",0,0,"T059_5,15",16.0335716240573,157.899394476383,150.307479837357
"1853","T061","5,15","5","15",1,1,"T061_5,15",16.0335716240573,157.899394476383,150.307479837357
"1854","T062","5,15","5","15",0,0,"T062_5,15",16.0335716240573,157.899394476383,150.307479837357
"1855","T063","5,15","5","15",0,0,"T063_5,15",16.0335716240573,157.899394476383,150.307479837357
"1856","T064","5,15","5","15",0,0,"T064_5,15",16.0335716240573,157.899394476383,150.307479837357
"1857","T065","5,15","5","15",0,0,"T065_5,15",16.0335716240573,157.899394476383,150.307479837357
"1858","T066","5,15","5","15",0,0,"T066_5,15",16.0335716240573,157.899394476383,150.307479837357
"1859","T067","5,15","5","15",0,0,"T067_5,15",16.0335716240573,157.899394476383,150.307479837357
"1860","T068","5,15","5","15",0,0,"T068_5,15",16.0335716240573,157.899394476383,150.307479837357
"1861","T069","5,15","5","15",0,0,"T069_5,15",16.0335716240573,157.899394476383,150.307479837357
"1862","T070","5,15","5","15",0,0,"T070_5,15",16.0335716240573,157.899394476383,150.307479837357
"1863","T071","5,15","5","15",0,0,"T071_5,15",16.0335716240573,157.899394476383,150.307479837357
"1864","T072","5,15","5","15",0,0,"T072_5,15",16.0335716240573,157.899394476383,150.307479837357
"1865","T073","5,15","5","15",0,0,"T073_5,15",16.0335716240573,157.899394476383,150.307479837357
"1866","T074","5,15","5","15",0,0,"T074_5,15",16.0335716240573,157.899394476383,150.307479837357
"1867","T075","5,15","5","15",0,0,"T075_5,15",16.0335716240573,157.899394476383,150.307479837357
"1868","T076","5,15","5","15",0,0,"T076_5,15",16.0335716240573,157.899394476383,150.307479837357
"1869","T078","5,15","5","15",0,0,"T078_5,15",16.0335716240573,157.899394476383,150.307479837357
"1870","T079","5,15","5","15",0,0,"T079_5,15",16.0335716240573,157.899394476383,150.307479837357
"1871","T080","5,15","5","15",0,0,"T080_5,15",16.0335716240573,157.899394476383,150.307479837357
"1872","T081","5,15","5","15",1,1,"T081_5,15",16.0335716240573,157.899394476383,150.307479837357
"1873","T082","5,15","5","15",0,0,"T082_5,15",16.0335716240573,157.899394476383,150.307479837357
"1874","T083","5,15","5","15",0,0,"T083_5,15",16.0335716240573,157.899394476383,150.307479837357
"1875","T084","5,15","5","15",0,0,"T084_5,15",16.0335716240573,157.899394476383,150.307479837357
"1876","T085","5,15","5","15",0,0,"T085_5,15",16.0335716240573,157.899394476383,150.307479837357
"1877","T086","5,15","5","15",0,0,"T086_5,15",16.0335716240573,157.899394476383,150.307479837357
"1878","T087","5,15","5","15",0,0,"T087_5,15",16.0335716240573,157.899394476383,150.307479837357
"1879","T088","5,15","5","15",0,0,"T088_5,15",16.0335716240573,157.899394476383,150.307479837357
"1880","T089","5,15","5","15",0,0,"T089_5,15",16.0335716240573,157.899394476383,150.307479837357
"1881","T090","5,15","5","15",0,0,"T090_5,15",16.0335716240573,157.899394476383,150.307479837357
"1882","C017","15,15","15","15",0,0,"C017_15,15",21.2132034355964,155.467874862247,147.310921247413
"1883","C018","15,15","15","15",0,0,"C018_15,15",21.2132034355964,155.467874862247,147.310921247413
"1884","C019","15,15","15","15",0,0,"C019_15,15",21.2132034355964,155.467874862247,147.310921247413
"1885","C020","15,15","15","15",0,0,"C020_15,15",21.2132034355964,155.467874862247,147.310921247413
"1886","C021","15,15","15","15",0,0,"C021_15,15",21.2132034355964,155.467874862247,147.310921247413
"1887","C022","15,15","15","15",0,0,"C022_15,15",21.2132034355964,155.467874862247,147.310921247413
"1888","C023","15,15","15","15",1,1,"C023_15,15",21.2132034355964,155.467874862247,147.310921247413
"1889","C024","15,15","15","15",0,0,"C024_15,15",21.2132034355964,155.467874862247,147.310921247413
"1890","C025","15,15","15","15",0,0,"C025_15,15",21.2132034355964,155.467874862247,147.310921247413
"1891","C026","15,15","15","15",0,0,"C026_15,15",21.2132034355964,155.467874862247,147.310921247413
"1892","C027","15,15","15","15",1,1,"C027_15,15",21.2132034355964,155.467874862247,147.310921247413
"1893","C028","15,15","15","15",0,0,"C028_15,15",21.2132034355964,155.467874862247,147.310921247413
"1894","C029","15,15","15","15",0,0,"C029_15,15",21.2132034355964,155.467874862247,147.310921247413
"1895","C030","15,15","15","15",3,1,"C030_15,15",21.2132034355964,155.467874862247,147.310921247413
"1896","C031","15,15","15","15",0,0,"C031_15,15",21.2132034355964,155.467874862247,147.310921247413
"1897","C032","15,15","15","15",0,0,"C032_15,15",21.2132034355964,155.467874862247,147.310921247413
"1898","T048","15,15","15","15",0,0,"T048_15,15",21.2132034355964,155.467874862247,147.310921247413
"1899","T049","15,15","15","15",0,0,"T049_15,15",21.2132034355964,155.467874862247,147.310921247413
